Simbol;Denumire emisiune;ISIN;Emitent;Cod Fiscal / CUI;Nr. obligatiuni emise;Valoare nominala;Valoare emisiune;Data emisiune;Data listarii;Data maturitate;Numar cupoane;Convertibila;Benchmark;Tip;Sectiune bursa;Piata Principala;Categoria;Stare;Model tranzactionare;Lista pasi de pret
R2507A;MINISTERUL FINANTELOR;RODXDDYAZ9C0;MINISTERUL  FINANTELOR;8609468;3557976;100;355797600;03.07.2024;04.07.2024;03.07.2025;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2507AE;MINISTERUL FINANTELOR;ROXXMOK2JES3;MINISTERUL  FINANTELOR;8609468;1291780;100;129178000;03.07.2024;04.07.2024;03.07.2025;1;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2507B;MINISTERUL FINANTELOR;ROUGHPDD1Z01;MINISTERUL  FINANTELOR;8609468;2737490;100;273749000;03.07.2024;04.07.2024;03.07.2025;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2508A;MINISTERUL FINANTELOR;ROA1TUSO7AA5;MINISTERUL  FINANTELOR;8609468;5144498;100;514449800;23.08.2024;26.08.2024;23.08.2025;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2508AE;MINISTERUL FINANTELOR PUBLICE;ROJQC1L9FV15;MINISTERUL  FINANTELOR;8609468;1683829;100;168382900;12.08.2020;13.08.2020;12.08.2025;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2508B;MINISTERUL FINANTELOR;RO03ASF070Z6;MINISTERUL  FINANTELOR;8609468;2020326;100;202032600;23.08.2024;26.08.2024;23.08.2025;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2508BE;MINISTERUL FINANTELOR;RO1VDKAXHC28;MINISTERUL  FINANTELOR;8609468;2053964;100;205396400;23.08.2024;26.08.2024;23.08.2025;1;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2509A;MINISTERUL FINANTELOR;ROQ0Y1HFDGH1;MINISTERUL  FINANTELOR;8609468;4231039;100;423103900;21.09.2022;22.09.2022;21.09.2025;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2510A;MINISTERUL FINANTELOR;ROQEFO7G3OM0;MINISTERUL  FINANTELOR;8609468;6793731;100;679373100;16.10.2024;17.10.2024;16.10.2025;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2510AE;MINISTERUL FINANTELOR;ROO1R7DDRV41;MINISTERUL  FINANTELOR;8609468;2166233;100;216623300;16.10.2024;17.10.2024;16.10.2025;1;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
